timestamp,heart_rate,enhanced_speed,cadence,power,position_lat,position_long,distance,temperature,fractional_cadence,enhanced_altitude,enhanced_respiration_rate,accumulated_power,unknown_field_0,unknown_field_1,unknown_field_4,unknown_field_8,unknown_field_90,unknown_field_134,unknown_field_137,unknown_field_138,unknown_field_144
Timestamp(2025-03-11T15:26:16+01:00),135,7.3530,86,197,551122971,174122484,367.9000,SInt8(19),0.0000,567.0000,33.5400,22193,,,,,,,100,100,135
Timestamp(2025-03-11T15:26:17+01:00),136,7.3340,86,207,551123728,174122550,375.0200,SInt8(18),0.0000,567.0000,33.5400,22400,,,,,,100,100,100,136
Timestamp(2025-03-11T15:26:18+01:00),135,7.2780,85,182,551124483,174122580,381.9200,SInt8(18),0.0000,567.0000,33.5400,22582,,,,,,100,100,100,135
Timestamp(2025-03-11T15:26:19+01:00),135,7.3250,85,198,551125252,174122591,389.2000,SInt8(18),0.0000,567.0000,34.9600,22780,,,,,,100,100,100,135
Timestamp(2025-03-11T15:26:20+01:00),134,7.3900,86,162,551126017,174122546,396.1900,SInt8(18),0.0000,567.0000,34.9600,22942,,,,,,100,100,100,134
Timestamp(2025-03-11T15:26:21+01:00),134,7.3900,86,191,551126797,174122465,403.2100,SInt8(18),0.0000,567.0000,34.9600,23133,,,,,,100,100,100,134
Timestamp(2025-03-11T15:26:22+01:00),134,7.2590,86,201,551127582,174122390,410.3900,SInt8(18),0.0000,567.2000,34.9600,23334,,,,,,100,100,100,134
Timestamp(2025-03-11T15:26:23+01:00),134,7.2410,86,190,551128385,174122280,417.9500,SInt8(18),0.0000,567.2000,34.9600,23524,,,,,,100,100,100,134
Timestamp(2025-03-11T15:26:24+01:00),133,7.2310,87,176,551129174,174122125,425.0900,SInt8(18),0.0000,567.2000,34.3300,23700,,,,,,100,100,100,133
Timestamp(2025-03-11T15:26:25+01:00),133,7.3620,87,191,551129992,174121905,432.7800,SInt8(18),0.0000,567.2000,34.3300,23891,,,,,,100,100,100,133
Timestamp(2025-03-11T15:26:26+01:00),133,7.3990,88,211,551130820,174121696,440.7700,SInt8(18),0.0000,567.2000,34.3300,24102,,,,,,100,100,100,133
Timestamp(2025-03-11T15:26:27+01:00),133,7.4930,88,196,551131644,174121477,448.7600,SInt8(18),0.0000,567.4000,34.3300,24298,,,,,,100,100,100,133
Timestamp(2025-03-11T15:26:28+01:00),132,7.4830,87,178,551132441,174121229,456.4200,SInt8(18),0.0000,567.6000,33.5100,24476,,,,,,100,99,99,132
Timestamp(2025-03-11T15:26:29+01:00),133,7.5020,87,187,551133234,174120958,464.1500,SInt8(18),0.0000,568.0000,33.5100,24663,,,,,,100,99,99,133
Timestamp(2025-03-11T15:26:30+01:00),133,7.5020,88,172,551134007,174120658,471.7000,SInt8(19),0.0000,568.2000,33.5100,24835,,,,,,100,99,99,133
Timestamp(2025-03-11T15:26:31+01:00),133,7.5020,87,190,551134771,174120319,479.3800,SInt8(19),0.0000,568.4000,33.5100,25025,,,,,,100,99,99,133
Timestamp(2025-03-11T15:26:32+01:00),133,7.5860,87,207,551135520,174119976,486.7700,SInt8(19),0.0000,568.4000,33.5100,25232,,,,,,,99,99,133
Timestamp(2025-03-11T15:26:33+01:00),135,7.5950,78,219,551136265,174119634,493.7500,SInt8(19),0.0000,568.6000,34.1500,25451,,,,,,100,99,99,135
Timestamp(2025-03-11T15:26:34+01:00),135,7.6790,76,234,551137039,174119296,501.3100,SInt8(19),0.0000,568.6000,34.1500,25685,,,,,,100,99,99,135
Timestamp(2025-03-11T15:26:35+01:00),135,7.7910,77,193,551137824,174118970,508.6800,SInt8(19),0.0000,568.6000,34.1500,25878,,,,,,,99,99,135
Timestamp(2025-03-11T15:26:36+01:00),133,7.8380,78,189,551138622,174118617,516.3600,SInt8(19),0.0000,568.6000,34.1500,26067,,,,,,100,99,99,133
Timestamp(2025-03-11T15:26:37+01:00),133,7.8560,78,231,551139436,174118267,524.4100,SInt8(19),0.0000,568.6000,34.1500,26298,,,,,,100,99,99,133
Timestamp(2025-03-11T15:26:38+01:00),133,7.8750,79,178,551140241,174117895,532.3800,SInt8(19),0.0000,568.6000,34.1500,26476,,,,,,100,99,99,133
Timestamp(2025-03-11T15:26:39+01:00),133,7.8000,78,201,551141026,174117520,540.0200,SInt8(19),0.0000,568.6000,34.9700,26677,,,,,,100,99,99,133
Timestamp(2025-03-11T15:26:40+01:00),132,7.7350,78,196,551141811,174117139,547.5500,SInt8(19),0.0000,568.6000,34.9700,26873,,,,,,100,99,99,132
Timestamp(2025-03-11T15:26:41+01:00),132,7.6880,78,201,551142608,174116756,555.5400,SInt8(19),0.0000,568.8000,34.9700,27074,,,,,,100,99,99,132
Timestamp(2025-03-11T15:26:42+01:00),132,7.6700,77,219,551143392,174116368,563.2700,SInt8(19),0.0000,568.8000,34.9700,27293,,,,,,100,99,99,132
Timestamp(2025-03-11T15:26:43+01:00),132,7.6600,77,208,551144173,174115971,570.9200,SInt8(19),0.0000,569.0000,35.5200,27501,,,,,,100,99,99,132
Timestamp(2025-03-11T15:26:44+01:00),132,7.5860,77,206,551144956,174115597,578.7600,SInt8(19),0.0000,569.0000,35.5200,27707,,,,,,100,99,99,132
Timestamp(2025-03-11T15:26:45+01:00),132,7.4930,77,215,551145731,174115258,586.4700,SInt8(19),0.0000,569.2000,35.5200,27922,,,,,,100,99,99,132
Timestamp(2025-03-11T15:26:46+01:00),131,7.3430,86,235,551146475,174114887,593.7700,SInt8(19),0.0000,569.4000,35.5200,28157,,,,,,100,99,99,131
Timestamp(2025-03-11T15:26:47+01:00),131,7.2310,86,199,551147217,174114538,601.1200,SInt8(19),0.0000,569.6000,35.5200,28356,,,,,,100,99,99,131
Timestamp(2025-03-11T15:26:48+01:00),130,7.1470,84,225,551147948,174114184,608.2300,SInt8(19),0.0000,569.8000,35.5200,28581,,,,,,100,99,99,130
Timestamp(2025-03-11T15:26:49+01:00),129,7.0450,83,238,551148665,174113818,615.1400,SInt8(19),0.0000,570.0000,35.8800,28819,,,,,,100,99,99,129
Timestamp(2025-03-11T15:26:50+01:00),128,6.9510,83,203,551149392,174113485,622.1400,SInt8(19),0.0000,570.0000,35.8800,29022,,,,,,,99,99,128
Timestamp(2025-03-11T15:26:51+01:00),129,6.8490,81,227,551150107,174113127,628.9800,SInt8(19),0.0000,570.2000,35.8800,29249,,,,,,100,99,99,129
Timestamp(2025-03-11T15:26:52+01:00),129,6.8300,80,219,551150843,174112788,636.3000,SInt8(19),0.0000,570.4000,35.8800,29468,,,,,,100,99,99,129
Timestamp(2025-03-11T15:26:53+01:00),130,6.9140,80,262,551151592,174112499,643.5900,SInt8(19),0.0000,570.4000,35.8800,29730,,,,,,100,99,99,130
Timestamp(2025-03-11T15:26:54+01:00),130,6.9610,81,217,551152331,174112200,650.5900,SInt8(19),0.0000,570.6000,36.9100,29947,,,,,,100,99,99,130
Timestamp(2025-03-11T15:26:55+01:00),131,7.0350,81,213,551153100,174111929,658.0200,SInt8(19),0.0000,570.6000,36.9100,30160,,,,,,100,99,99,131
Timestamp(2025-03-11T15:26:56+01:00),132,7.0070,82,188,551153859,174111701,665.4400,SInt8(19),0.0000,570.6000,36.9100,30348,,,,,,100,99,99,132
Timestamp(2025-03-11T15:26:57+01:00),132,7.2870,82,206,551154654,174111559,672.9100,SInt8(19),0.0000,570.6000,36.9100,30554,,,,,,100,99,99,132
Timestamp(2025-03-11T15:26:58+01:00),132,7.0170,83,214,551155405,174111369,680.3200,SInt8(18),0.0000,570.8000,36.9100,30768,,,,,,100,99,99,132
